Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2026-02-02 11:20,Short Exit,4722.366,6.16,28889.95648,-199.82,-0.69,180.85,0.63,-199.82,-0.69,-199.82,-2.00
1,Entry short,2026-02-02 11:15,Short,4689.928,6.16,28889.95648,-199.82,-0.69,180.85,0.63,-199.82,-0.69,-199.82,-2.00
2,Exit short,2026-02-02 11:35,Short Exit,4669.873,8.28,38866.30344,199.76,0.51,199.76,0.51,0,0.00,-0.06,0.00
2,Entry short,2026-02-02 11:30,Short,4693.998,8.28,38866.30344,199.76,0.51,199.76,0.51,0,0.00,-0.06,0.00
3,Exit short,2026-02-02 11:45,Short Exit,4680.261,5.86,27226.45658,-199.87,-0.73,90.73,0.33,-199.87,-0.73,-199.94,-2.00
3,Entry short,2026-02-02 11:40,Short,4646.153,5.86,27226.45658,-199.87,-0.73,90.73,0.33,-199.87,-0.73,-199.94,-2.00
4,Exit short,2026-02-02 12:00,Short Exit,4630.738,7.12,33170.74856,199.89,0.60,199.89,0.60,-3.68,-0.01,-0.04,0.00
4,Entry short,2026-02-02 11:55,Short,4658.813,7.12,33170.74856,199.89,0.60,199.89,0.60,-3.68,-0.01,-0.04,0.00
5,Exit short,2026-02-02 12:05,Short Exit,4659.331,3.9,17971.7772,-199.61,-1.11,19.53,0.11,-199.61,-1.11,-199.66,-2.00
5,Entry short,2026-02-02 12:05,Short,4608.148,3.9,17971.7772,-199.61,-1.11,19.53,0.11,-199.61,-1.11,-199.66,-2.00
6,Exit short,2026-02-02 12:45,Short Exit,4705.426,6.64,31044.11152,-199.92,-0.64,120.93,0.39,-199.92,-0.64,-399.57,-4.00
6,Entry short,2026-02-02 12:25,Short,4675.318,6.64,31044.11152,-199.92,-0.64,120.93,0.39,-199.92,-0.64,-399.57,-4.00
7,Exit short,2026-02-02 13:30,Short Exit,4638.703,12.45,57951.79935,199.95,0.35,199.95,0.35,0,0.00,-199.63,-2.00
7,Entry short,2026-02-02 13:30,Short,4654.763,12.45,57951.79935,199.95,0.35,199.95,0.35,0,0.00,-199.63,-2.00
8,Exit short,2026-02-02 13:40,Short Exit,4579.338,5.02,23188.19826,199.92,0.86,199.92,0.86,-31.74,-0.14,0.3,0.00
8,Entry short,2026-02-02 13:35,Short,4619.163,5.02,23188.19826,199.92,0.86,199.92,0.86,-31.74,-0.14,0.3,0.00
9,Exit short,2026-02-02 13:50,Short Exit,4520.853,3.82,17469.50176,199.84,1.14,199.84,1.14,0,0.00,200.14,2.00
9,Entry short,2026-02-02 13:45,Short,4573.168,3.82,17469.50176,199.84,1.14,199.84,1.14,0,0.00,200.14,2.00
10,Exit long,2026-02-02 19:20,Long Exit,4756.407,3.56,16732.96832,199.84,1.19,199.84,1.19,-154.01,-0.92,399.98,4.00
10,Entry long,2026-02-02 17:30,Long,4700.272,3.56,16732.96832,199.84,1.19,199.84,1.19,-154.01,-0.92,399.98,4.00
11,Exit long,2026-02-02 20:00,Long Exit,4751.319,8.42,40206.06414,-199.96,-0.50,42.13,0.10,-199.96,-0.50,200.02,2.00
11,Entry long,2026-02-02 19:40,Long,4775.067,8.42,40206.06414,-199.96,-0.50,42.13,0.10,-199.96,-0.50,200.02,2.00
12,Exit long,2026-02-02 21:20,Long Exit,4735.219,3.75,17956.77,-199.7,-1.11,58.98,0.33,-199.7,-1.11,0.32,0.00
12,Entry long,2026-02-02 21:10,Long,4788.472,3.75,17956.77,-199.7,-1.11,58.98,0.33,-199.7,-1.11,0.32,0.00
13,Exit short,2026-02-02 23:50,Short Exit,4630.453,5.38,25111.62344,199.79,0.80,199.79,0.80,0,0.00,200.11,2.00
13,Entry short,2026-02-02 23:45,Short,4667.588,5.38,25111.62344,199.79,0.80,199.79,0.80,0,0.00,200.11,2.00
14,Exit short,2026-02-03 00:05,Short Exit,4663.626,5.72,26476.18116,-199.76,-0.75,182.83,0.69,-199.76,-0.75,0.35,0.00
14,Entry short,2026-02-02 23:55,Short,4628.703,5.72,26476.18116,-199.76,-0.75,182.83,0.69,-199.76,-0.75,0.35,0.00
15,Exit short,2026-02-03 01:05,Short Exit,4697.581,5.76,26858.32128,-199.75,-0.74,101.8,0.38,-199.75,-0.74,-199.4,-1.99
15,Entry short,2026-02-03 00:30,Short,4662.903,5.76,26858.32128,-199.75,-0.74,101.8,0.38,-199.75,-0.74,-199.4,-1.99
16,Exit short,2026-02-03 02:10,Short Exit,4633.398,4.97,23227.60811,199.62,0.86,199.62,0.86,-74.21,-0.32,0.22,0.00
16,Entry short,2026-02-03 01:20,Short,4673.563,4.97,23227.60811,199.62,0.86,199.62,0.86,-74.21,-0.32,0.22,0.00
17,Exit short,2026-02-03 02:35,Short Exit,4671.946,5.06,23440.11098,-199.94,-0.85,69.64,0.30,-199.94,-0.85,-199.71,-2.00
17,Entry short,2026-02-03 02:15,Short,4632.433,5.06,23440.11098,-199.94,-0.85,69.64,0.30,-199.94,-0.85,-199.71,-2.00
18,Exit short,2026-02-03 03:40,Short Exit,4672.261,9.21,42831.54708,-199.98,-0.47,174.97,0.41,-199.98,-0.47,-399.69,-4.00
18,Entry short,2026-02-03 02:55,Short,4650.548,9.21,42831.54708,-199.98,-0.47,174.97,0.41,-199.98,-0.47,-399.69,-4.00
19,Exit long,2026-02-03 07:50,Long Exit,4767.857,7.74,36703.36638,199.85,0.54,199.85,0.54,-194.72,-0.53,-199.84,-2.00
19,Entry long,2026-02-03 07:20,Long,4742.037,7.74,36703.36638,199.85,0.54,199.85,0.54,-194.72,-0.53,-199.84,-2.00
20,Exit long,2026-02-03 09:25,Long Exit,4855.717,7.95,38403.00765,199.94,0.52,199.94,0.52,0,0.00,0.1,0.00
20,Entry long,2026-02-03 09:15,Long,4830.567,7.95,38403.00765,199.94,0.52,199.94,0.52,0,0.00,0.1,0.00
21,Exit long,2026-02-03 13:25,Long Exit,4831.437,7.77,37340.49879,199.77,0.53,199.77,0.53,-147.37,-0.39,199.87,2.00
21,Entry long,2026-02-03 11:40,Long,4805.727,7.77,37340.49879,199.77,0.53,199.77,0.53,-147.37,-0.39,199.87,2.00
22,Exit long,2026-02-03 14:10,Long Exit,4840.842,17.21,83110.99667,199.89,0.24,199.89,0.24,0,0.00,399.76,4.00
22,Entry long,2026-02-03 14:10,Long,4829.227,17.21,83110.99667,199.89,0.24,199.89,0.24,0,0.00,399.76,4.00
23,Exit long,2026-02-03 14:25,Long Exit,4873.277,8.26,40053.37602,199.89,0.50,199.89,0.50,-10.47,-0.03,599.65,6.00
23,Entry long,2026-02-03 14:15,Long,4849.077,8.26,40053.37602,199.89,0.50,199.89,0.50,-10.47,-0.03,599.65,6.00
24,Exit long,2026-02-03 14:40,Long Exit,4890.737,12.97,63232.92634,199.93,0.32,199.93,0.32,-72.01,-0.11,799.59,8.00
24,Entry long,2026-02-03 14:30,Long,4875.322,12.97,63232.92634,199.93,0.32,199.93,0.32,-72.01,-0.11,799.59,8.00
25,Exit long,2026-02-03 14:45,Long Exit,4873.279,9.79,47909.29363,-199.89,-0.42,1.16,0.00,-199.89,-0.42,599.69,6.00
25,Entry long,2026-02-03 14:45,Long,4893.697,9.79,47909.29363,-199.89,-0.42,1.16,0.00,-199.89,-0.42,599.69,6.00
26,Exit long,2026-02-03 19:00,Long Exit,4896.659,10.74,52789.96758,-199.85,-0.38,159.04,0.30,-199.85,-0.38,399.84,4.00
26,Entry long,2026-02-03 17:40,Long,4915.267,10.74,52789.96758,-199.85,-0.38,159.04,0.30,-199.85,-0.38,399.84,4.00
27,Exit long,2026-02-03 20:00,Long Exit,4935.467,10.81,53152.41327,199.99,0.38,199.99,0.38,-195.09,-0.37,599.83,6.00
27,Entry long,2026-02-03 19:35,Long,4916.967,10.81,53152.41327,199.99,0.38,199.99,0.38,-195.09,-0.37,599.83,6.00
28,Exit long,2026-02-03 21:25,Long Exit,4936.372,11.06,54396.42012,199.85,0.37,199.85,0.37,-170.4,-0.31,799.68,8.00
28,Entry long,2026-02-03 20:35,Long,4918.302,11.06,54396.42012,199.85,0.37,199.85,0.37,-170.4,-0.31,799.68,8.00
29,Exit long,2026-02-03 21:50,Long Exit,4929.764,16.08,79470.60816,-200,-0.25,146.22,0.18,-200,-0.25,599.68,6.00
